ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,Shape_Leng,PlanName
"24,637.00","6,126.00",Willamette River,Willamette River, , ,"1,227,618,456,580.00","1,227,618,456,580.00",0, ,"1,587.00",17090007,Middle Willamette,Willamette,54.8 to 108,54.8,108,53.2,Biological Criteria,4,Year Round,3,"2,004.00",5/15/2006 0:00,No action,21,3,Resident fish and aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: No status change,Previous Assessment Year: 2004, ,Biocriteria: Waters of the state must be of sufficient quality to support aquatic species without detrimental changes in the resident biological communities.,"281,326.73",Molalla-Pudding French Prairie North Santiam
"26,339.00","17,085.00",Pringle Creek,Pringle Creek, , ,"1,230,450,449,390.00","1,230,450,449,390.00",0, ,"1,789.00",17090007,Middle Willamette,Willamette,0 to 6.2,0,6.2,6.2,E. Coli,2,FallWinterSpring,2,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"32,254.76",Molalla-Pudding French Prairie North Santiam
"29,472.00","24,567.00",Mill Creek,Mill Creek, , ,"1,230,393,449,520.00","1,230,393,449,520.00",0, ,"9,662.00",17090007,Middle Willamette,Willamette,0 to 19,0,19,19,Dissolved Oxygen,6,October 15 - May 15,46,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"99,289.77",Molalla-Pudding French Prairie North Santiam
"29,326.00","8,382.00",Willamette River,Willamette River, , ,"1,227,618,456,580.00","1,227,618,456,580.00",0, ,"1,587.00",17090007,Middle Willamette,Willamette,54.8 to 108,54.8,108,53.2,Iron,"2,255.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,24,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: No status change,Previous Assessment Year: 2004, ,Table 20 Toxic Substances,"281,326.73",Molalla-Pudding French Prairie North Santiam
"29,356.00","21,929.00",Battle Creek,Battle Creek, , ,"1,229,643,448,350.00","1,229,643,448,350.00",0, ,"1,730.00",17090007,Middle Willamette,Willamette,0 to 9.1,0,9.1,9.1,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,7, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,"47,697.99",Molalla-Pudding French Prairie North Santiam
"29,382.00","11,640.00",Santiam River,Santiam River, , ,"1,231,425,447,500.00","1,231,425,447,500.00",0, ,"1,843.00",17090005,North Santiam,Willamette,0 to 12,0,12,12,Dissolved Oxygen,6,October 15 - May 15,46,"2,012.00",6/25/2013 0:00,Status modification - Added to 303(d) list,10,4,Salmon and steelhead spawning,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,Previous Status: Cat 3: Insufficient data,Previous Action: Added to database,Previous Assessment Year: 2004, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"63,578.64",Molalla-Pudding French Prairie North Santiam
"29,379.00","24,533.00",Abiqua Creek,Abiqua Creek, , ,"1,228,325,450,360.00","1,228,325,450,360.00",0, ,"31,567.00",17090009,Molalla-Pudding,Willamette,3.3 to 20.3,3.3,20.3,17,Dissolved Oxygen,6,September 1 - June 15,49,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"89,080.95",Molalla-Pudding French Prairie North Santiam
"26,275.00","13,463.00",North Santiam River,North Santiam River, , ,"1,230,064,446,870.00","1,230,064,446,870.00",0, ,"9,601.00",17090005,North Santiam,Willamette,0 to 38.8,0,38.8,38.8,Temperature,12,September 1 - June 15,49,"2,010.00",10/29/2010 0:00,No action,21,31,Salmon and steelhead spawning,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Salmon and steelhead spawning: 13.0 degrees Celsius 7-day-average maximum,"205,265.68",Molalla-Pudding French Prairie North Santiam
"19,709.00","6,790.00",Pringle Creek,Pringle Creek, , ,"1,230,450,449,390.00","1,230,450,449,390.00",0, ,"1,789.00",17090007,Middle Willamette,Willamette,0 to 6.2,0,6.2,6.2,Dieldrin,"2,227.00",Year Round,3,"2,004.00",1/30/2006 0:00,No action,21,24,Resident fish and aquatic life; Anadromous fish passage; Drinking water; Aquatic life; Human health,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: No status change,Previous Assessment Year: 2004, ,Table 20 Toxic Substances,"32,254.76",Molalla-Pudding French Prairie North Santiam
"29,386.00","21,940.00",Pringle Creek,Pringle Creek, , ,"1,230,450,449,390.00","1,230,450,449,390.00",0, ,"11,885.00",17090007,Middle Willamette,Willamette,0 to 2.6,0,2.6,2.6,Dissolved Oxygen,6,October 15 - May 15,46,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"13,508.94",Molalla-Pudding French Prairie North Santiam
"29,378.00","24,531.00",Brush Creek,Brush Creek, , ,"1,228,300,450,040.00","1,228,300,450,040.00",0, ,"31,565.00",17090009,Molalla-Pudding,Willamette,1.1 to 4.6,1.1,4.6,3.5,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,7, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,"18,427.91",Molalla-Pudding French Prairie North Santiam
"29,293.00","7,350.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,554.00",17090009,Molalla-Pudding,Willamette,0 to 35.4,0,35.4,35.4,Iron,"2,255.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,24,Aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Table 20 Toxic Substances,"181,266.22",Molalla-Pudding French Prairie North Santiam
"29,295.00","6,185.00",Little Pudding River,Little Pudding River, , ,"1,228,537,450,740.00","1,228,537,450,740.00",0, ,"1,662.00",17090009,Molalla-Pudding,Willamette,0 to 19.1,0,19.1,19.1,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,Status modification,24,8,Salmonid fish spawning; Salmonid fish rearing; Resident fish and aquatic life; Anadromous fish passage,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: Insufficient data,Previous Action: Added to database,Previous Assessment Year: 1998,"TMDL Approved: 12/18/1993
Pudding River TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/wq/tmdls/docs/willamettebasin/Pudding/PuddingTMDL.pdf"">Pudding River TMDL</a>",Cool water: Not less than 6.5 mg/l,"97,085.66",Molalla-Pudding French Prairie North Santiam
"29,410.00","21,928.00",Battle Creek,Battle Creek, , ,"1,229,643,448,350.00","1,229,643,448,350.00",0, ,"1,730.00",17090007,Middle Willamette,Willamette,0 to 9.1,0,9.1,9.1,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"47,697.99",Molalla-Pudding French Prairie North Santiam
"26,093.00","13,044.00",North Santiam River,North Santiam River, , ,"1,230,064,446,870.00","1,230,064,446,870.00",0, ,"9,602.00",17090005,North Santiam,Willamette,0 to 45.3,0,45.3,45.3,Temperature,12,Year Round (Non-spawning),71,"2,010.00",10/29/2010 0:00,No action,21,33,Core cold water habitat,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",Core cold water habitat: 16.0 degrees Celsius 7-day-average maximum,"239,598.42",Molalla-Pudding French Prairie North Santiam
"26,414.00","21,931.00",Battle Creek,Battle Creek, , ,"1,229,643,448,350.00","1,229,643,448,350.00",0, ,"1,730.00",17090007,Middle Willamette,Willamette,0 to 9.1,0,9.1,9.1,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"47,697.99",Molalla-Pudding French Prairie North Santiam
"26,419.00","21,944.00",Croisan Creek,Croisan Creek, , ,"1,230,550,449,260.00","1,230,550,449,260.00",0, ,"1,799.00",17090007,Middle Willamette,Willamette,0 to 6.5,0,6.5,6.5,E. Coli,2,Summer,1,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"33,859.52",Molalla-Pudding French Prairie North Santiam
"26,413.00","21,930.00",Battle Creek,Battle Creek, , ,"1,229,643,448,350.00","1,229,643,448,350.00",0, ,"1,730.00",17090007,Middle Willamette,Willamette,0 to 9.1,0,9.1,9.1,E. Coli,2,FallWinterSpring,2,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 09/29/2006
Willamette Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Willamette Basin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"47,697.99",Molalla-Pudding French Prairie North Santiam
"29,462.00","24,513.00",Mill Creek,Mill Creek, , ,"1,227,520,452,420.00","1,227,520,452,420.00",0, ,"1,575.00",17090009,Molalla-Pudding,Willamette,0 to 12.5,0,12.5,12.5,Arsenic,"2,208.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,46,Human health; Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Table 40 Human Health Criteria for Toxic Pollutants,"63,643.57",Molalla-Pudding French Prairie North Santiam
"26,311.00","16,346.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,554.00",17090009,Molalla-Pudding,Willamette,0 to 35.4,0,35.4,35.4,E. Coli,2,FallWinterSpring,2,"2,010.00",10/29/2010 0:00,No action,21,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"181,266.22",Molalla-Pudding French Prairie North Santiam
"29,459.00","24,566.00",Clark Creek,Clark Creek, , ,"1,230,332,449,270.00","1,230,332,449,270.00",0, ,"1,779.00",17090007,Middle Willamette,Willamette,0 to 1.9,0,1.9,1.9,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"9,932.75",Molalla-Pudding French Prairie North Santiam
"24,586.00","21,941.00",Croisan Creek,Croisan Creek, , ,"1,230,550,449,260.00","1,230,550,449,260.00",0, ,"1,799.00",17090007,Middle Willamette,Willamette,0 to 6.5,0,6.5,6.5,Dissolved Oxygen,6,January 1 - May 15,41,"2,004.00",8/1/2005 0:00,No action,21,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"33,859.52",Molalla-Pudding French Prairie North Santiam
"29,738.00","25,237.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,Added to database,7,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17, , , , ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"40,078.46",Molalla-Pudding French Prairie North Santiam
"29,305.00","21,933.00",Claggett Creek,Claggett Creek, , ,"1,230,310,450,290.00","1,230,310,450,290.00",0, ,"2,852.00",17090007,Middle Willamette,Willamette,0 to 5.2,0,5.2,5.2,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,8, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Cool water: Not less than 6.5 mg/l,"27,446.47",Molalla-Pudding French Prairie North Santiam
"29,466.00","24,520.00",Butte Creek,Butte Creek, , ,"1,227,735,451,610.00","1,227,735,451,610.00",0, ,"31,557.00",17090009,Molalla-Pudding,Willamette,11.9 to 16.9,11.9,16.9,5,Dissolved Oxygen,6,September 1 - June 15,49,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"26,104.90",Molalla-Pudding French Prairie North Santiam
"29,374.00","24,527.00",Bochsler Creek,Bochsler Creek, , ,"1,227,943,450,940.00","1,227,943,450,940.00",0, ,"31,562.00",17090009,Molalla-Pudding,Willamette,0 to 4.6,0,4.6,4.6,Dissolved Oxygen,6,January 1 - May 15,41,"2,012.00",6/25/2013 0:00,No status change,13,4, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,"24,224.75",Molalla-Pudding French Prairie North Santiam
"29,294.00","6,187.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Dissolved Oxygen,6,Year Round (Non-spawning),71,"2,012.00",6/25/2013 0:00,No status change,13,8,Salmonid fish rearing; Resident fish and aquatic life,"Cat 4A: Water quality limited, TMDL approved",14,Previous Status: TMDL approved,Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2002,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",Cool water: Not less than 6.5 mg/l,"40,078.46",Molalla-Pudding French Prairie North Santiam
"29,409.00","8,611.00",Zollner Creek,Zollner Creek, , ,"1,228,266,451,050.00","1,228,266,451,050.00",0, ,"1,640.00",17090009,Molalla-Pudding,Willamette,0 to 7.8,0,7.8,7.8,Guthion,"2,243.00",Year Round,3,"2,012.00",6/25/2013 0:00,No status change,13,24,Aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Status modification - EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Table 20 Toxic Substances,"40,078.46",Molalla-Pudding French Prairie North Santiam
"28,772.00","24,862.00",Pudding River,Pudding River, , ,"1,227,161,452,840.00","1,227,161,452,840.00",0, ,"1,555.00",17090009,Molalla-Pudding,Willamette,35.4 to 61.7,35.4,61.7,26.3,E. Coli,2,FallWinterSpring,2,"2,012.00",4/1/2013 0:00,"New Cat 4A: Water quality limited, TMDL approved",14,1,Water contact recreation,"Cat 4A: Water quality limited, TMDL approved",14, , , ,"TMDL Approved: 12/31/2008
Molalla-Pudding Subbasin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/willamette.htm"">Molalla-Pudding Subbasin TMDL</a>",30-day log mean of 126 E. coli organisms per 100 ml; no single sample > 406 organisms per 100 ml,"134,387.96",Molalla-Pudding French Prairie North Santiam
