FID,Join_Count,TARGET_FID,OBJECTID,ASSESSMENT,RECORD_ID,STREAM_LAK,STREAM_NAM,LAKE_NAME,BEACH_NAME,LLID_STREA,LLID_STR_1,LLID_LAKE,EPA_BEACH_,SEGMENT_ID,HUC_4TH_CO,HUC_4TH_NA,HUC_3RD_NA,MILES,RM1,RM2,SEGMENT_MI,POLLUTANT,POLLUTANT_,SEASON,SEASON_ID,ASSESSME_1,ASSESSME_2,ACTION,ACTION_ID,NUMERIC_CR,AFFECTED_U,LISTING_ST,STATUS_ID,PREVIOUS_S,PREVIOUS_A,LISTING_YE,TMDL_INFO,CRITERIA,Shape_Leng,PlanName
459,1,459,460,28714.000000000000000,24819.000000000000000,Pistol River,Pistol River, , ,1243982422750.000000000000000,1243982422750.000000000000000,0.000000000000000, ,31682.000000000000000,17100312,Chetco,Southern Oregon Coastal,1.1 to 12.9,1.100000000000000,12.900000000000000,11.830000000000000,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,61910.749349199999000,Curry County
570,1,570,571,15970.000000000000000,13345.000000000000000,Elk River,Elk River, , ,1245315428060.000000000000000,1245315428060.000000000000000,0.000000000000000, ,2647.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 29.9,0.000000000000000,29.899999999999999,29.899999999999999,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,155881.350108999990000,Curry County
612,1,612,613,30756.000000000000000,20712.000000000000000,Hunter Creek,Hunter Creek, , ,1244242423870.000000000000000,1244242423870.000000000000000,0.000000000000000, ,11575.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 7.2,0.000000000000000,7.200000000000000,7.200000000000000,pH,10.000000000000000,Summer,1.000000000000000,2012.000000000000000,8/4/2014 0:00:00,No status change,13.000000000000000,16.000000000000000,Resident fish and aquatic life; Water contact recreation,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,pH 6.5 to 8.5,37518.485014500002000,Curry County
617,1,617,618,30757.000000000000000,4825.000000000000000,Pistol River,Pistol River, , ,1243982422750.000000000000000,1243982422750.000000000000000,0.000000000000000, ,2625.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 19.8,0.000000000000000,19.800000000000001,19.800000000000001,pH,10.000000000000000,Summer,1.000000000000000,2012.000000000000000,8/4/2014 0:00:00,No status change,13.000000000000000,16.000000000000000,Anadromous fish passage; Water contact recreation; Salmonid fish spawning; Salmonid fish rearing; Resident fish and aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: No status change,Previous Assessment Year: 2004, ,pH 6.5 to 8.5,103963.327808000000000,Curry County
634,1,634,635,15950.000000000000000,13325.000000000000000,South Fork Floras Creek,South Fork Floras Creek, , ,1243207429080.000000000000000,1243207429080.000000000000000,0.000000000000000, ,3230.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 3.7,0.000000000000000,3.700000000000000,3.700000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,18625.933774500001000,Curry County
676,1,676,677,28727.000000000000000,24829.000000000000000,Morton Creek,Morton Creek, , ,1244633429700.000000000000000,1244633429700.000000000000000,0.000000000000000, ,2642.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 6,0.000000000000000,6.000000000000000,6.000000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,30828.423113800000000,Curry County
767,1,767,768,15943.000000000000000,13318.000000000000000,Winchuck River,Winchuck River, , ,1242066420050.000000000000000,1242066420050.000000000000000,0.000000000000000, ,2586.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 11.1,0.000000000000000,11.100000000000000,11.100000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,58104.469346200000000,Curry County
819,1,819,820,26214.000000000000000,13337.000000000000000,Indian Creek,Indian Creek, , ,1244058424300.000000000000000,1244058424300.000000000000000,0.000000000000000, ,11571.000000000000000,17100310,Lower Rogue,Southern Oregon Coastal,0 to 3.4,0.000000000000000,3.400000000000000,3.400000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,10/29/2010 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 4A: Water quality limited, TMDL approved",14.000000000000000,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/29/2008
Rogue River Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Rogue River Basin TMDL</a>",Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,17824.581770299999000,Curry County
827,1,827,828,15964.000000000000000,13339.000000000000000,Hunter Creek,Hunter Creek, , ,1244242423870.000000000000000,1244242423870.000000000000000,0.000000000000000, ,11576.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 18.4,0.000000000000000,18.399999999999999,18.399999999999999,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,95442.092528699999000,Curry County
868,1,868,869,15966.000000000000000,13341.000000000000000,Willow Creek,Willow Creek, , ,1244794429110.000000000000000,1244794429110.000000000000000,0.000000000000000, ,3231.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 6.9,0.000000000000000,6.900000000000000,6.900000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,35683.499342000003000,Curry County
927,1,927,928,15969.000000000000000,13344.000000000000000,Swamp Creek,Swamp Creek, , ,1245252427940.000000000000000,1245252427940.000000000000000,0.000000000000000, ,3238.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 1.5,0.000000000000000,1.500000000000000,1.500000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,7741.629945609999600,Curry County
931,1,931,932,25718.000000000000000,4023.000000000000000,Quosatana Creek,Quosatana Creek, , ,1242424424980.000000000000000,1242424424980.000000000000000,0.000000000000000, ,2601.000000000000000,17100310,Lower Rogue,Southern Oregon Coastal,0 to 8.1,0.000000000000000,8.100000000000000,8.100000000000000,Temperature,12.000000000000000,Summer,1.000000000000000,2010.000000000000000,10/29/2010 0:00:00,No action,21.000000000000000,17.000000000000000,Anadromous fish passage; Salmonid fish rearing,"Cat 4A: Water quality limited, TMDL approved",14.000000000000000,"Previous Status: Cat 4A: Water quality limited, TMDL approved",Previous Action: Delisted - TMDL approved,Previous Assessment Year: 2010,"TMDL Approved: 12/29/2008
Rogue River Basin TMDL
<a target=""_blank"" href=""http://www.deq.state.or.us/WQ/TMDLs/rogue.htm"">Rogue River Basin TMDL</a>",Rearing: 17.8 C,42396.621340799997000,Curry County
951,1,951,952,15961.000000000000000,13336.000000000000000,Pistol River,Pistol River, , ,1243982422750.000000000000000,1243982422750.000000000000000,0.000000000000000, ,2625.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 19.8,0.000000000000000,19.800000000000001,19.800000000000001,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2004.000000000000000,4/14/2005 0:00:00,No action,21.000000000000000,34.000000000000000,Salmon and trout rearing and migration,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: Added to database,Previous Assessment Year: 2004, ,Salmon and trout rearing and migration: 18.0 degrees Celsius 7-day-average maximum,103963.327808000000000,Curry County
1152,1,1152,1153,28732.000000000000000,24833.000000000000000,Floras Creek,Floras Creek, , ,1244974429130.000000000000000,1244974429130.000000000000000,0.000000000000000, ,12005.000000000000000,17100306,Sixes,Southern Oregon Coastal,1 to 9.2,1.000000000000000,9.199999999999999,8.199999999999999,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,42200.462460000002000,Curry County
1420,0,1420,1421,28729.000000000000000,24831.000000000000000,Unnamed Stream,Unnamed Stream, , ,1244767428610.000000000000000,1244767428610.000000000000000,0.000000000000000, ,31687.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 1.4,0.000000000000000,1.400000000000000,1.400000000000000,Dissolved Oxygen,6.000000000000000,January 1 - May 15,41.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,4.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,0.000000000000000,Curry County
1433,1,1433,1434,28619.000000000000000,24751.000000000000000,Wheeler Creek,Wheeler Creek, , ,1241077420360.000000000000000,1241077420360.000000000000000,0.000000000000000, ,2522.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 11,0.000000000000000,11.000000000000000,11.000000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,57775.410000700002000,Curry County
1449,1,1449,1450,28681.000000000000000,24795.000000000000000,Winchuck River,Winchuck River, , ,1242066420050.000000000000000,1242066420050.000000000000000,0.000000000000000, ,11999.000000000000000,17100312,Chetco,Southern Oregon Coastal,1 to 11.1,1.000000000000000,11.100000000000000,10.100000000000000,Dissolved Oxygen,6.000000000000000,October 15 - June 15,45.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,4.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,52618.728008099999000,Curry County
1478,1,1478,1479,30655.000000000000000,24834.000000000000000,Boulder Creek,Boulder Creek, , ,1244974429130.000000000000000,1244974429130.000000000000000,0.000000000000000, ,31866.000000000000000,17100306,Sixes,Southern Oregon Coastal,2.1 to 5.8,2.100000000000000,5.800000000000000,3.700000000000000,Dissolved Oxygen,6.000000000000000,October 15 - May 15,46.000000000000000,2012.000000000000000,1/29/2013 0:00:00,Segment location correction,20.000000000000000,4.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Spawning: Not less than 11.0 mg/L or 95% of saturation,19452.323101800001000,Curry County
1502,1,1502,1503,28611.000000000000000,24744.000000000000000,Fourth of July Creek,Fourth of July Creek, , ,1240897420470.000000000000000,1240897420470.000000000000000,0.000000000000000, ,31659.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 4.6,0.000000000000000,4.600000000000000,4.600000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,24166.521074200002000,Curry County
1559,1,1559,1560,28702.000000000000000,24812.000000000000000,North Fork Floras Creek,North Fork Floras Creek, , ,1243207429080.000000000000000,1243207429080.000000000000000,0.000000000000000, ,3236.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 10.9,0.000000000000000,10.900000000000000,10.900000000000000,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,55890.795543400003000,Curry County
1587,1,1587,1588,28694.000000000000000,24806.000000000000000,North Fork Pistol River,North Fork Pistol River, , ,1242665422950.000000000000000,1242665422950.000000000000000,0.000000000000000, ,31675.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 2.8,0.000000000000000,2.800000000000000,2.800000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,14674.095520000001000,Curry County
1603,1,1603,1604,28715.000000000000000,24820.000000000000000,Turner Creek,Turner Creek, , ,1244136423890.000000000000000,1244136423890.000000000000000,0.000000000000000, ,31683.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 1.5,0.000000000000000,1.500000000000000,1.500000000000000,Temperature,12.000000000000000,Year Round,3.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,8483.663508280000300,Curry County
1632,1,1632,1633,28688.000000000000000,24801.000000000000000,East Fork Pistol River,East Fork Pistol River, , ,1242184423230.000000000000000,1242184423230.000000000000000,0.000000000000000, ,31673.000000000000000,17100312,Chetco,Southern Oregon Coastal,0 to 4.6,0.000000000000000,4.600000000000000,4.600000000000000,Temperature,12.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,23839.560274700001000,Curry County
1674,0,1674,1675,28730.000000000000000,24832.000000000000000,Unnamed Stream,Unnamed Stream, , ,1244767428610.000000000000000,1244767428610.000000000000000,0.000000000000000, ,31687.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 1.4,0.000000000000000,1.400000000000000,1.400000000000000,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,0.000000000000000,Curry County
1699,1,1699,1700,28738.000000000000000,24839.000000000000000,Sixes River,Sixes River, , ,1245439428540.000000000000000,1245439428540.000000000000000,0.000000000000000, ,2648.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 30.1,0.000000000000000,30.100000000000001,30.100000000000001,Dissolved Oxygen,6.000000000000000,Year Round (Non-spawning),71.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,7.000000000000000,Cold-water aquatic life,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Cold water: Not less than 8.0 mg/l or 90% of saturation,157009.312011000000000,Curry County
1724,1,1724,1725,28711.000000000000000,24816.000000000000000,Pea Creek,Pea Creek, , ,1243579425640.000000000000000,1243579425640.000000000000000,0.000000000000000, ,31679.000000000000000,17100306,Sixes,Southern Oregon Coastal,0 to 1.4,0.000000000000000,1.400000000000000,1.400000000000000,Temperature,12.000000000000000,Year Round,3.000000000000000,2010.000000000000000,1/29/2013 0:00:00,No action,21.000000000000000,17.000000000000000, ,"Cat 5: Water quality limited, 303(d) list, TMDL needed",17.000000000000000,"Previous Status: Cat 5: Water quality limited, 303(d) list, TMDL needed",Previous Action: EPA addition to 303(d) list,Previous Assessment Year: 2010, ,Rearing: 17.8 C,9755.001468250000500,Curry County
